

1,"2026-01-01", 30,32,20,22,15,16
2,"2026-01-02", 30,32,25,25,20,25
3,"2026-01-03", 35,33,20,22,15,20
4,"2026-01-04", 35,32,30,28,25,22
5,"2026-01-05", 40,40,30,32,25,26
6,"2026-01-06", 0,30,0,20,0,15
7,"2026-01-07", 40,42,35,32,30,29
8,"2026-01-08", 45,46,35,33,30,28
9,"2026-01-09", 45,48,40,38,35,33
10,"2026-01-10", 50,55,40,38,35,33
11,"2026-01-11", 50,55,45,42,40,38
12,"2026-01-12", 55,58,45,44,40,38
13,"2026-01-13", 0,0,0,0,0,0
15,"15.6.2026", 60,64,55,52,50,48
14,"2026-01-14", 55,58,50,48,45,42
